resourceTemplate,resourceClass,collection,identifier,title,alternative,type,description,subject,creator,date,spatial,bibliographicCitation,rights,placeItem,macrisID,streetName,houseNum,isPartOf,numPages,dataQual,streetSort
CDASH Document,dctype:Text,CDASH Documents,CD190825d_east_st_0001,East St: Article or Monograph,,Article or Monograph,,Architecture | Buildings | Article | Monograph | Road,,,East Cambridge,"Cambridge Historical Commission, Digital Architectural Survey and History.",Rights status not evaluated.,cdp_east_st,,streetName,,East_Place_and_Street,2,,East_St_0000000AM
CDASH Document,dctype:Text,CDASH Documents,CD190825d_east_st_0002,East St: Supplemental Material,,Supplemental Material,,Architecture | Buildings | Architectural Documents | Road,,,East Cambridge,"Cambridge Historical Commission, Digital Architectural Survey and History.",Rights status not evaluated.,cdp_east_st,,streetName,,East_Place_and_Street,1,,East_St_0000000SM
CDASH Document,dctype:Text,CDASH Documents,CD190825d_east_st_0003,East St: Article or Monograph,,Article or Monograph,,Architecture | Buildings | Article | Monograph | Road,,,East Cambridge,"Cambridge Historical Commission, Digital Architectural Survey and History.",Rights status not evaluated.,cdp_east_st,,streetName,,East_Place_and_Street,2,,East_St_0000000AM
CDASH Document,dctype:Text,CDASH Documents,CD190825d_east_st_0004,East St: Article or Monograph,,Article or Monograph,,Architecture | Buildings | Article | Monograph | Road,,,East Cambridge,"Cambridge Historical Commission, Digital Architectural Survey and History.",Rights status not evaluated.,cdp_east_st,,streetName,,East_Place_and_Street,1,,East_St_0000000AM
CDASH Document,dctype:Text,CDASH Documents,CD190825d_east_st_0005,East St: Article or Monograph,,Article or Monograph,,Architecture | Buildings | Article | Monograph | Road,,,East Cambridge,"Cambridge Historical Commission, Digital Architectural Survey and History.",Rights status not evaluated.,cdp_east_st,,streetName,,East_Place_and_Street,1,,East_St_0000000AM
CDASH Document,dctype:Text,CDASH Documents,CD190825d_11_east_st_0008,11 East St: CHC Architectural Inventory Form,,Architectural Inventory Form,,Architecture | Buildings | Documents | Surveys,,,East Cambridge,"Cambridge Historical Commission, Digital Architectural Survey and History.",Rights status not evaluated.,cdp_11_east_st,,streetName,11,East_Place_and_Street,1,,East_St_0000011AI
CDASH Document,dctype:Text,CDASH Documents,CD190825d_11_east_st_0009,11 East St: CHC Research Form,,Research Form,,Buildings | Architecture | Descriptive Notes,,,East Cambridge,"Cambridge Historical Commission, Digital Architectural Survey and History.",Rights status not evaluated.,cdp_11_east_st,,streetName,11,East_Place_and_Street,1,,East_St_0000011RF
CDASH Document,dctype:Text,CDASH Documents,CD190825d_15_east_st_0010,15 East St: CHC Research Form,,Research Form,,Buildings | Architecture | Descriptive Notes,,,East Cambridge,"Cambridge Historical Commission, Digital Architectural Survey and History.",Rights status not evaluated.,cdp_15_east_st,,streetName,15,East_Place_and_Street,1,,East_St_0000015RF
CDASH Document,dctype:Text,CDASH Documents,CD190825d_15_east_st_0011,15 East St: Correspondence,,Correspondence,,Architecture | Buildings | Historical Commission | Business Letter | Correspondence,,,East Cambridge,"Cambridge Historical Commission, Digital Architectural Survey and History.",Rights status not evaluated.,cdp_15_east_st,,streetName,15,East_Place_and_Street,5,,East_St_0000015CD
CDASH Document,dctype:Text,CDASH Documents,CD190825d_1_east_st_0006,1 East St: CHC Architectural Inventory Form,,Architectural Inventory Form,,Architecture | Buildings | Documents | Surveys,,,East Cambridge,"Cambridge Historical Commission, Digital Architectural Survey and History.",Rights status not evaluated.,cdp_1_east_st,,streetName,1,East_Place_and_Street,1,,East_St_0000001AI
CDASH Document,dctype:Text,CDASH Documents,CD190825d_1_east_st_0007,1 East St: Supplemental Material,,Supplemental Material,,Architecture | Buildings | Architectural Documents,,,East Cambridge,"Cambridge Historical Commission, Digital Architectural Survey and History.",Rights status not evaluated.,cdp_1_east_st,,streetName,1,East_Place_and_Street,2,,East_St_0000001SM
CDASH Document,dctype:Text,CDASH Documents,CD190825d_24_east_st_0012,24 East St: CHC Research Form,,Research Form,,Buildings | Architecture | Descriptive Notes,,,East Cambridge,"Cambridge Historical Commission, Digital Architectural Survey and History.",Rights status not evaluated.,cdp_24_east_st,,streetName,,East_Place_and_Street,1,,East_St_0000024RF
CDASH Document,dctype:Text,CDASH Documents,CD190825d_25_east_st_0013,25 East St: CHC Architectural Inventory Form,,Architectural Inventory Form,,Architecture | Buildings | Documents | Surveys,,,East Cambridge,"Cambridge Historical Commission, Digital Architectural Survey and History.",Rights status not evaluated.,cdp_25_east_st,,streetName,25,East_Place_and_Street,1,,East_St_0000025AI
CDASH Document,dctype:StillImage,CDASH Documents,CD190825d_25_east_st_0014,25 East St: Contact Sheet,,Photo Contact Sheet,,Architecture | Buildings | Photographs,,,East Cambridge,"Cambridge Historical Commission, Digital Architectural Survey and History.",Rights status not evaluated.,cdp_25_east_st,,streetName,25,East_Place_and_Street,1,,East_St_0000025CS
CDASH Document,dctype:Text,CDASH Documents,CD190825d_25_east_st_0015,25 East St: Article or Monograph,,Article or Monograph,,Architecture | Buildings | Article | Monograph,,,East Cambridge,"Cambridge Historical Commission, Digital Architectural Survey and History.",Rights status not evaluated.,cdp_25_east_st,,streetName,25,East_Place_and_Street,1,,East_St_0000025AM
CDASH Document,dctype:Text,CDASH Documents,CD190825d_29_east_st_0016,29 East St: CHC Research Form,,Research Form,,Buildings | Architecture | Descriptive Notes,,,East Cambridge,"Cambridge Historical Commission, Digital Architectural Survey and History.",Rights status not evaluated.,cdp_29_east_st,,streetName,29,East_Place_and_Street,1,,East_St_0000029RF
CDASH Document,dctype:Text,CDASH Documents,CD190825d_29_east_st_0017,29 East St: CHC Research Form,,Research Form,,Buildings | Architecture | Descriptive Notes,,,East Cambridge,"Cambridge Historical Commission, Digital Architectural Survey and History.",Rights status not evaluated.,cdp_29_east_st,,streetName,29,East_Place_and_Street,1,,East_St_0000029RF
CDASH Document,dctype:StillImage,CDASH Documents,CD190825d_31_east_st_0018,31 East St: Contact Sheet,,Photo Contact Sheet,,Architecture | Buildings | Photographs,,,East Cambridge,"Cambridge Historical Commission, Digital Architectural Survey and History.",Rights status not evaluated.,cdp_31_east_st,,streetName,31,East_Place_and_Street,1,,East_St_0000031CS
CDASH Document,dctype:Text,CDASH Documents,CD190825d_125_msgr_obrien_highway_0001,125 Msgr O’Brien Highway CHC Architectural Inventory Form,,Architectural Inventory Form,,Architecture | Buildings | Documents | Surveys,,,East Cambridge,"Cambridge Historical Commission, Digital Architectural Survey and History.",Rights status not evaluated.,cdp_125_msgr_obrien_highway,,Msgr O’Brien Highway,125,Bridge_St ,1,,Msgr_Obrien_Highway_0000125AI
CDASH Document,dctype:Text,CDASH Documents,CD190825d_125_msgr_obrien_highway_0002,126 Msgr O’Brien Highway CHC Research Form,,,,Architecture | Buildings | Documents | | Descriptive Notes,,,East Cambridge,"Cambridge Historical Commission, Digital Architectural Survey and History.",Rights status not evaluated.,cdp_125_msgr_obrien_highway,,Msgr O’Brien Highway,125,Bridge_St ,1,,Msgr_Obrien_Highway_0000125RF
